level,topic,english,chinese,verdict,plannedStatus,redrawMarked,hasVideoPath,visualProof,listenerProof,checks,promptPath
11,课堂规则,"Listen, please.",请注意听,PASS,ready,no,no,"The girl cups one hand near her ear and says ""Listen, please.""",The boy stops tapping and tilts his head toward the bell.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-011-listen-please.txt
12,课堂规则,Raise your hand.,请举手,PASS,ready,no,no,"The boy lifts his hand high and says ""Raise your hand."" as a clear model.",The girl raises her hand too and waits patiently.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-012-raise-your-hand.txt
13,课堂规则,Let's line up.,我们排队吧,PASS,ready,no,no,"The girl points to the stones, steps behind the boy, and says ""Let's line up.""",The boy nods and moves to the first stone while the girl waits behind him.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-013-let-s-line-up.txt
14,课堂规则,"Sit down, please.",请坐下,PASS,ready,no,no,"The girl pats the empty spot on the mat and says ""Sit down, please.""",The boy sits carefully beside her.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-014-sit-down-please.txt
15,课堂规则,"Stand up, please.",请站起来,PASS,ready,no,no,"The boy offers a hand and says ""Stand up, please.""",The girl stands up with a small bounce and smiles.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-015-stand-up-please.txt
16,课堂规则,Look over here.,看这边,PASS,ready,no,no,"She points to the shell and says ""Look over here.""",The boy turns his head and eyes to the shell only.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-016-look-over-here.txt
17,课堂规则,"Quiet, please.",请安静,PASS,ready,no,no,"The girl puts one finger gently to her lips and says ""Quiet, please.""",The boy stops clapping and tiptoes softly.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-017-quiet-please.txt
18,课堂规则,Can you answer?,你能回答吗,PASS,ready,no,no,"She opens her palm toward him and asks ""Can you answer?""","The boy points to the correct cup and says ""This one!""",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-018-can-you-answer.txt
19,课堂规则,Let's work together.,我们一起合作吧,PASS,ready,no,no,"She holds one handle, offers the other to the boy, and says ""Let's work together.""",The boy takes the second handle and they lift the basket evenly.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-019-let-s-work-together.txt
20,课堂规则,Try it with me.,和我一起试试,PASS,ready,no,no,"The girl slows down, leaves space beside her, and says ""Try it with me.""",The boy copies her fold at the same time.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-020-try-it-with-me.txt
21,一日三餐,Let's have breakfast.,我们吃早餐吧,PASS,ready,no,no,"The girl opens the basket and says ""Let's have breakfast.""",The boy sits down and takes one piece of bread.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-021-let-s-have-breakfast.txt
22,一日三餐,Let's have lunch.,我们吃午餐吧,PASS,ready,no,no,"The boy opens the box and says ""Let's have lunch.""",The girl sits beside him and smiles at the food.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-022-let-s-have-lunch.txt
23,一日三餐,Let's have dinner.,我们吃晚餐吧,PASS,ready,no,no,"The girl lifts the cover and says ""Let's have dinner.""",The boy places two small cups beside the bowl.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-023-let-s-have-dinner.txt
24,一日三餐,Drink some milk.,喝点牛奶,PASS,ready,no,no,"He offers the cup to the girl and says ""Drink some milk.""",The girl takes a careful sip and smiles.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-024-drink-some-milk.txt
25,一日三餐,Wash your hands.,洗洗手,PASS,ready,no,no,"The boy points gently to the basin and says ""Wash your hands.""",The girl rinses both hands clearly in the basin.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-025-wash-your-hands.txt
26,一日三餐,Wipe your mouth.,擦擦嘴,PASS,ready,no,no,"The girl hands him one napkin and says ""Wipe your mouth.""",The boy wipes the crumb away and looks neat again.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-026-wipe-your-mouth.txt
27,一日三餐,Use your chopsticks.,用你的筷子,PASS,ready,no,no,"The girl places chopsticks in the boy's hand and says ""Use your chopsticks.""",The boy carefully picks up the one piece with the chopsticks.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-027-use-your-chopsticks.txt
28,一日三餐,Taste it.,尝一尝,PASS,ready,no,no,"She offers the spoon and says ""Taste it.""",The boy tastes just a little and smiles.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-028-taste-it.txt
29,一日三餐,I'm full.,我吃饱了,PASS,ready,no,no,"He pats his belly with a relaxed smile and says ""I'm full.""",The girl stops offering more food and nods.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-029-i-m-full.txt
30,一日三餐,"More rice, please.",请再来点饭,PASS,ready,no,no,"She holds the bowl with both hands and says ""More rice, please.""",The boy scoops one small spoon of rice into her bowl.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-030-more-rice-please.txt
31,零食水果,Cut the apple.,切这个苹果,PASS,ready,no,no,"She presses down carefully and says ""Cut the apple."" as the apple becomes slices.",The boy moves the slices onto a plate.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-031-cut-the-apple.txt
32,零食水果,Peel the banana.,剥这个香蕉,PASS,ready,no,no,"He pulls the peel downward and says ""Peel the banana.""",The girl watches the banana fruit appear.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-032-peel-the-banana.txt
33,零食水果,Open the snack bag.,打开零食袋,PASS,ready,no,no,"The girl pulls the top open and says ""Open the snack bag.""",The boy holds the bottom steady so it does not spill.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-033-open-the-snack-bag.txt
34,零食水果,Let's share this cookie.,我们分享这块饼干吧,PASS,ready,no,no,"She offers one piece to the boy and says ""Let's share this cookie.""","The boy accepts the piece and says ""Thank you!""",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-034-let-s-share-this-cookie.txt
35,零食水果,The candy is sweet.,糖果是甜的,PASS,ready,no,no,"His eyes brighten, he smiles, and he says ""The candy is sweet.""",The girl nods and points only to the candy.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-035-the-candy-is-sweet.txt
36,零食水果,The lemon is sour.,柠檬是酸的,PASS,ready,no,no,"She puckers her lips, squints playfully, and says ""The lemon is sour.""",The boy laughs gently and offers water.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-036-the-lemon-is-sour.txt
37,零食水果,Eat slowly.,慢慢吃,PASS,ready,no,no,"The girl lowers her hand in a slow gesture and says ""Eat slowly.""",The boy takes a small bite instead and chews calmly.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-037-eat-slowly.txt
38,零食水果,"No sugar, please.",请不要糖,PASS,ready,no,no,"The girl gently covers the cup with her hand and says ""No sugar, please.""",The boy moves the sugar spoon away.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-038-no-sugar-please.txt
39,零食水果,It tastes yummy.,它尝起来很好吃,PASS,ready,no,no,"She smiles, gives a small thumbs-up, and says ""It tastes yummy.""",The boy looks pleased and takes his own tiny bite.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-039-it-tastes-yummy.txt
40,零食水果,Take a bite.,咬一口,PASS,ready,no,no,"He points to the slice and says ""Take a bite.""",The girl takes one small clear bite from the slice.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-040-take-a-bite.txt
41,洗漱卫生,Brush your teeth.,刷刷牙,PASS,ready,no,no,"The girl points to the toothbrush and says ""Brush your teeth.""",The boy brushes his teeth with gentle up-and-down motion.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-041-brush-your-teeth.txt
42,洗漱卫生,Wash your face.,洗洗脸,PASS,ready,no,no,"The boy hands her water and says ""Wash your face.""",She splashes water on her face and wipes it clean.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-042-wash-your-face.txt
43,洗漱卫生,Comb your hair.,梳梳头发,PASS,ready,no,no,"The girl hands him the comb and says ""Comb your hair.""",The boy combs his hair neatly while looking into a small mirror.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-043-comb-your-hair.txt
44,洗漱卫生,Take a bath.,洗个澡,PASS,ready,no,no,"The girl points to the towel and says ""Take a bath.""","Behind the screen, the boy washes with a sponge; only clean hands, towel, and happy face are visible.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-044-take-a-bath.txt
45,洗漱卫生,Flush the toilet.,冲马桶,PASS,ready,no,no,"The boy presses the flush handle and says ""Flush the toilet.""",The girl waits outside and points next to the sink for handwashing.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-045-flush-the-toilet.txt
46,洗漱卫生,Use soap.,用肥皂,PASS,ready,no,no,"The boy presses the pump into her palm and says ""Use soap.""",The girl rubs both hands with bubbles.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-046-use-soap.txt
47,洗漱卫生,Dry your hands.,擦干手,PASS,ready,no,no,"The girl gives him one towel and says ""Dry your hands.""",The boy rubs both hands dry with the towel.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-047-dry-your-hands.txt
48,洗漱卫生,Change your clothes.,换衣服,PASS,ready,no,no,"The girl points to the clean shirt and says ""Change your clothes.""",The boy steps behind the screen; a moment later he comes out in the clean shirt.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-048-change-your-clothes.txt
49,洗漱卫生,Cut your nails.,剪指甲,PASS,ready,no,no,"The boy points to the clipper and says ""Cut your nails.""",The girl carefully clips one nail over a small tray.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-049-cut-your-nails.txt
50,洗漱卫生,Blow your nose.,擤鼻子,PASS,ready,no,no,"The girl points to the tissue and says ""Blow your nose.""",The boy covers his nose with the tissue and blows gently.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-050-blow-your-nose.txt
51,身体动作,Run fast!,跑快点,PASS,ready,no,no,"The girl leans forward, starts running, and says ""Run fast!"" as her scarf trails behind.",The boy runs after her with quick small steps.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-051-run-fast.txt
52,身体动作,Jump high!,跳高点,PASS,ready,no,no,"The boy bends his knees, jumps up clearly, and says ""Jump high!""",The girl claps as he lands safely.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-052-jump-high.txt
53,身体动作,Clap your hands.,拍拍手,PASS,ready,no,no,"She brings her palms together and says ""Clap your hands.""",The boy copies and claps twice with her.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-053-clap-your-hands.txt
54,身体动作,Stamp your feet.,跺跺脚,PASS,ready,no,no,"He stamps one foot, then the other, and says ""Stamp your feet.""",The girl copies with tiny sand puffs under her shoes.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-054-stamp-your-feet.txt
55,身体动作,Touch your nose.,摸摸鼻子,PASS,ready,no,no,"She touches the tip of her nose and says ""Touch your nose.""",The boy touches his own nose and looks at her.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-055-touch-your-nose.txt
56,身体动作,Close your eyes.,闭上眼睛,PASS,ready,no,no,"The boy closes both eyes and says ""Close your eyes.""",The girl closes her eyes too while keeping a small smile.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-056-close-your-eyes.txt
57,身体动作,Open your mouth.,张开嘴巴,PASS,ready,no,no,"She opens her own mouth as a model and says ""Open your mouth.""",The boy opens his mouth slightly and safely for the spoon.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-057-open-your-mouth.txt
58,身体动作,Shake your head.,摇摇头,PASS,ready,no,no,"He shakes his head left and right and says ""Shake your head.""",The girl understands and moves the sugar away.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-058-shake-your-head.txt
59,身体动作,Turn around.,转一圈,PASS,ready,no,no,"She turns one full circle slowly and says ""Turn around.""",The boy watches her face come back to the front.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-059-turn-around.txt
60,身体动作,"Sit still, please.",请坐好不动,PASS,ready,no,no,"The girl holds up one gentle palm and says ""Sit still, please.""",The boy stops moving and keeps his feet still.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-060-sit-still-please.txt
61,情绪表达,I'm happy.,我很开心,PASS,ready,no,no,"She smiles widely, lifts both hands a little, and says ""I'm happy.""",The boy smiles back and shares the shade with her.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-061-i-m-happy.txt
62,情绪表达,I'm sad.,我很难过,PASS,ready,no,no,"He looks down with watery eyes and says ""I'm sad.""",The girl kneels beside him and offers one block to rebuild.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-062-i-m-sad.txt
63,情绪表达,I'm angry.,我生气了,PASS,ready,no,no,"She says ""I'm angry."" without shouting.",The boy offers a calm hand and points to a clean patch of sand.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-063-i-m-angry.txt
64,情绪表达,I'm scared.,我害怕了,PASS,ready,no,no,"He holds his satchel, eyes wide, and says ""I'm scared.""",The girl shows him the friendly camel causing the shadow.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-064-i-m-scared.txt
65,情绪表达,Be brave.,勇敢一点,PASS,ready,no,no,"The girl stands on the other side, opens her arms, and says ""Be brave.""",The boy takes one careful step onto the stone.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-065-be-brave.txt
66,情绪表达,Calm down.,冷静下来,PASS,ready,no,no,"The boy lowers both palms, breathes slowly, and says ""Calm down.""",The girl copies the slow breath and her shoulders drop.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-066-calm-down.txt
67,情绪表达,Don't cry.,别哭,PASS,ready,no,no,"The girl gently offers a tissue and says ""Don't cry.""",The boy wipes his eyes while she fixes the wheel.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-067-don-t-cry.txt
68,情绪表达,Cheer up!,打起精神,PASS,ready,no,no,"He lifts the repaired kite and says ""Cheer up!""",The girl looks up and smiles as the kite rises again.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-068-cheer-up.txt
69,情绪表达,Give me a big smile.,给我一个大大的笑容,PASS,ready,no,no,"The girl frames her cheeks with her hands and says ""Give me a big smile.""","The boy gives a large natural smile, eyes bright and mouth relaxed.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-069-give-me-a-big-smile.txt
70,情绪表达,Let's laugh together.,我们一起笑吧,PASS,ready,no,no,"The boy looks at the girl, starts a gentle laugh, and says ""Let's laugh together.""","The girl laughs with him, both faces visible.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-070-let-s-laugh-together.txt
71,家庭互动,I can help Mom.,我可以帮妈妈,PASS,ready,no,no,"The girl picks up the napkin, gives it to Mom, and says ""I can help Mom.""",Mom smiles and lets the girl carry the light napkin roll.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-071-i-can-help-mom.txt
72,家庭互动,Give Dad a hug.,给爸爸一个拥抱,PASS,ready,no,no,"The girl points gently and says ""Give Dad a hug.""",The boy wraps both arms around Dad's shoulders.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-072-give-dad-a-hug.txt
73,家庭互动,Give the baby a kiss.,亲亲宝宝,PASS,ready,no,no,"The boy whispers softly and says ""Give the baby a kiss.""",The girl gives one gentle kiss on the baby's forehead.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-073-give-the-baby-a-kiss.txt
74,家庭互动,Play with me.,和我一起玩,PASS,ready,no,no,"She rolls the ball toward him and says ""Play with me.""",The boy catches it and smiles.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-074-play-with-me.txt
75,家庭互动,Can you read to me?,你能读给我听吗,PASS,ready,no,no,"He points to the book cover and asks ""Can you read to me?""",The girl opens the picture book and nods.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-075-can-you-read-to-me.txt
76,家庭互动,Can you tell me a story?,你能给我讲个故事吗,PASS,ready,no,no,"He looks at the girl and asks ""Can you tell me a story?""","The girl opens the book and answers ""Sure.""",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-076-can-you-tell-me-a-story.txt
77,家庭互动,Let's go to bed.,我们上床睡觉吧,PASS,ready,no,no,"The girl points to the tent and says ""Let's go to bed.""",The boy picks up his satchel and walks toward the tent.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-077-let-s-go-to-bed.txt
78,家庭互动,"Wake up, please.",请醒一醒,PASS,ready,no,no,"The girl kneels nearby, taps the mat softly, and says ""Wake up, please.""",The boy opens his eyes and sits up slowly.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-078-wake-up-please.txt
79,家庭互动,"Get dressed, please.",请穿好衣服,PASS,ready,no,no,"The girl points to the clothes and says ""Get dressed, please.""",The boy steps behind the screen and comes out wearing the vest and satchel.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-079-get-dressed-please.txt
80,家庭互动,"Come here, please.",请过来,PASS,ready,no,no,"She opens one hand toward herself and says ""Come here, please.""",The boy walks toward her and stops beside the water.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-080-come-here-please.txt
81,玩具游戏,Let's play ball.,我们玩球吧,PASS,ready,no,no,"The boy picks up the ball and says ""Let's play ball.""",The girl opens her hands to catch.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-081-let-s-play-ball.txt
82,玩具游戏,Ride your bike.,骑你的自行车,PASS,ready,no,no,"The girl points to the bike and says ""Ride your bike.""",The boy puts on the helmet and pedals slowly along the path.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-082-ride-your-bike.txt
83,玩具游戏,Fly the kite.,放风筝,PASS,ready,no,no,"The girl points to the open sky and says ""Fly the kite.""",The boy runs a few steps and the kite lifts into the breeze.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-083-fly-the-kite.txt
84,玩具游戏,Build the blocks.,搭积木,PASS,ready,no,no,"The boy places one block on another and says ""Build the blocks.""",The girl adds the last block carefully.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-084-build-the-blocks.txt
85,玩具游戏,Let's play hide-and-seek.,我们玩捉迷藏吧,PASS,ready,no,no,"The girl covers her eyes and says ""Let's play hide-and-seek.""",The boy hides behind the palm while she counts silently with fingers.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-085-let-s-play-hide-and-seek.txt
86,玩具游戏,"Tag, you're it!",抓到你了，轮到你,PASS,ready,no,no,"The girl lightly taps the boy's shoulder and says ""Tag, you're it!""",The boy turns around smiling and begins to chase gently.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-086-tag-you-re-it.txt
87,玩具游戏,It's my turn.,轮到我了,PASS,ready,no,no,"The girl points to herself, reaches for the ball, and says ""It's my turn.""",The boy steps back and opens his hands to catch.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-087-it-s-my-turn.txt
88,玩具游戏,It's your turn.,轮到你了,PASS,ready,no,no,"She points to the boy and says ""It's your turn.""",The boy picks up the block and adds it to the tower.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-088-it-s-your-turn.txt
89,玩具游戏,I won!,我赢了,PASS,ready,no,no,"She lifts both hands in a small happy pose and says ""I won!""",The boy claps for her without looking upset.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-089-i-won.txt
90,玩具游戏,Good game!,玩得真好,PASS,ready,no,no,"The girl smiles at the boy and says ""Good game!""","The boy answers ""Good game!"" and they high-five.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-090-good-game.txt
91,颜色形状,I see red and blue.,我看见红色和蓝色,PASS,ready,no,no,"The girl points to the two colored halves and says ""I see red and blue.""","The boy touches the red side, then the blue side.",,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-091-i-see-red-and-blue.txt
92,颜色形状,The sun is yellow.,太阳是黄色的,PASS,ready,no,no,"The boy points up at the sun and says ""The sun is yellow.""",The girl shades her eyes and nods at the sun.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-092-the-sun-is-yellow.txt
93,颜色形状,The grass is green.,草地是绿色的,PASS,ready,no,no,"The girl touches the grass gently and says ""The grass is green.""",The boy looks down at the green blades.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-093-the-grass-is-green.txt
94,颜色形状,The night is dark.,夜晚是黑的,PASS,ready,no,no,"The boy looks up and says ""The night is dark.""",The girl holds the lantern softly so the darkness remains clear but safe.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-094-the-night-is-dark.txt
95,颜色形状,The snow is white.,雪是白色的,PASS,ready,no,no,"The girl catches a snowflake on her mitten and says ""The snow is white.""",The boy points to the white snow on the cloth.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-095-the-snow-is-white.txt
96,颜色形状,It is a circle.,它是圆形,PASS,ready,no,no,"The boy traces the plate's round edge with one finger and says ""It is a circle.""",The girl traces the same round edge and nods.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-096-it-is-a-circle.txt
97,颜色形状,It is a square.,它是正方形,PASS,ready,no,no,"The girl points to each corner and says ""It is a square.""",The boy places a cup in the center of the square tile.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-097-it-is-a-square.txt
98,颜色形状,It is a triangle.,它是三角形,PASS,ready,no,no,"The boy points along the three edges and says ""It is a triangle.""",The girl nods and points to the top point.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-098-it-is-a-triangle.txt
99,颜色形状,It is a star.,它是星星形状,PASS,ready,no,no,"The girl points to the star shape and says ""It is a star.""",The boy gently turns the lantern so the star outline is clear.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-099-it-is-a-star.txt
100,颜色形状,Let's mix the colors.,我们混合颜色吧,PASS,ready,no,no,"The boy dips the brush into both cups and says ""Let's mix the colors.""",The girl watches the colors blend on the stone.,,/Users/yr/Documents/LibTV Workbench/projects/baby-desert-levels-v1/input/final-prompts/level-100-let-s-mix-the-colors.txt
