level,topic,oldEnglish,newEnglish,chinese,pepBridge,audioKey,ttsText,speaker,audioStatus,audioUrl
19,课堂规则,Answer me,Let's work together.,我们一起合作吧,PEP三上 U1 Making friends,let's work together,Let's work together.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_work_together.mp3
20,课堂规则,Work in pairs,Try it with me.,和我一起试试,PEP三上 U1 Making friends,try it with me,Try it with me.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/try_it_with_me.mp3
21,一日三餐,Have breakfast,Let's have breakfast.,我们吃早餐吧,PEP生活饮食主题拓展,let's have breakfast,Let's have breakfast.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_have_breakfast.mp3
22,一日三餐,Have lunch,Let's have lunch.,我们吃午餐吧,PEP生活饮食主题拓展,let's have lunch,Let's have lunch.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_have_lunch.mp3
23,一日三餐,Have dinner,Let's have dinner.,我们吃晚餐吧,PEP生活饮食主题拓展,let's have dinner,Let's have dinner.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_have_dinner.mp3
24,一日三餐,Drink milk,Drink some milk.,喝点牛奶,PEP生活饮食主题拓展,drink some milk,Drink some milk.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/drink_some_milk.mp3
25,一日三餐,Wash hands,Wash your hands.,洗洗手,PEP生活饮食主题拓展,wash your hands,Wash your hands.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/wash_your_hands.mp3
26,一日三餐,Wipe mouth,Wipe your mouth.,擦擦嘴,PEP生活饮食主题拓展,wipe your mouth,Wipe your mouth.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/wipe_your_mouth.mp3
27,一日三餐,Use chopsticks,Use your chopsticks.,用你的筷子,PEP生活饮食主题拓展,use your chopsticks,Use your chopsticks.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/use_your_chopsticks.mp3
28,一日三餐,Taste it,Taste it.,尝一尝,PEP生活饮食主题拓展,taste it,Taste it.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/taste_it.mp3
29,一日三餐,Full up,I'm full.,我吃饱了,PEP生活饮食主题拓展,i'm full,I'm full.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_m_full.mp3
30,一日三餐,More rice,"More rice, please.",请再来点饭,PEP生活饮食主题拓展,"more rice, please","More rice, please.",en_female_hayley_uranus_bigtts,generated,assets/audio/words/more_rice__please.mp3
31,零食水果,Cut apple,Cut the apple.,切这个苹果,PEP生活饮食主题拓展,cut the apple,Cut the apple.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/cut_the_apple.mp3
32,零食水果,Peel banana,Peel the banana.,剥这个香蕉,PEP生活饮食主题拓展,peel the banana,Peel the banana.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/peel_the_banana.mp3
33,零食水果,Open snack,Open the snack bag.,打开零食袋,PEP生活饮食主题拓展,open the snack bag,Open the snack bag.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/open_the_snack_bag.mp3
34,零食水果,Share cookie,Let's share this cookie.,我们分享这块饼干吧,PEP生活饮食主题拓展,let's share this cookie,Let's share this cookie.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_share_this_cookie.mp3
35,零食水果,Sweet candy,The candy is sweet.,糖果是甜的,PEP生活饮食主题拓展,the candy is sweet,The candy is sweet.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_candy_is_sweet.mp3
36,零食水果,Sour lemon,The lemon is sour.,柠檬是酸的,PEP生活饮食主题拓展,the lemon is sour,The lemon is sour.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_lemon_is_sour.mp3
37,零食水果,Eat slowly,Eat slowly.,慢慢吃,PEP生活饮食主题拓展,eat slowly,Eat slowly.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/eat_slowly.mp3
38,零食水果,No sugar,"No sugar, please.",请不要糖,PEP生活饮食主题拓展,"no sugar, please","No sugar, please.",en_female_hayley_uranus_bigtts,generated,assets/audio/words/no_sugar__please.mp3
39,零食水果,Yummy taste,It tastes yummy.,它尝起来很好吃,PEP生活饮食主题拓展,it tastes yummy,It tastes yummy.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_tastes_yummy.mp3
40,零食水果,Bite it,Take a bite.,咬一口,PEP生活饮食主题拓展,take a bite,Take a bite.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/take_a_bite.mp3
41,洗漱卫生,Brush teeth,Brush your teeth.,刷刷牙,PEP日常生活主题拓展,brush your teeth,Brush your teeth.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/brush_your_teeth.mp3
42,洗漱卫生,Wash face,Wash your face.,洗洗脸,PEP日常生活主题拓展,wash your face,Wash your face.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/wash_your_face.mp3
43,洗漱卫生,Comb hair,Comb your hair.,梳梳头发,PEP日常生活主题拓展,comb your hair,Comb your hair.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/comb_your_hair.mp3
44,洗漱卫生,Take a bath,Take a bath.,洗个澡,PEP日常生活主题拓展,take a bath,Take a bath.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/take_a_bath.mp3
45,洗漱卫生,Flush toilet,Flush the toilet.,冲马桶,PEP日常生活主题拓展,flush the toilet,Flush the toilet.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/flush_the_toilet.mp3
46,洗漱卫生,Use soap,Use soap.,用肥皂,PEP日常生活主题拓展,use soap,Use soap.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/use_soap.mp3
47,洗漱卫生,Dry hands,Dry your hands.,擦干手,PEP日常生活主题拓展,dry your hands,Dry your hands.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/dry_your_hands.mp3
48,洗漱卫生,Change clothes,Change your clothes.,换衣服,PEP日常生活主题拓展,change your clothes,Change your clothes.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/change_your_clothes.mp3
49,洗漱卫生,Cut nails,Cut your nails.,剪指甲,PEP日常生活主题拓展,cut your nails,Cut your nails.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/cut_your_nails.mp3
50,洗漱卫生,Blow nose,Blow your nose.,擤鼻子,PEP日常生活主题拓展,blow your nose,Blow your nose.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/blow_your_nose.mp3
51,身体动作,Run fast,Run fast!,跑快点,PEP自我认知主题拓展,run fast,Run fast!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/run_fast.mp3
52,身体动作,Jump high,Jump high!,跳高点,PEP自我认知主题拓展,jump high,Jump high!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/jump_high.mp3
53,身体动作,Clap hands,Clap your hands.,拍拍手,PEP自我认知主题拓展,clap your hands,Clap your hands.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/clap_your_hands.mp3
54,身体动作,Stamp feet,Stamp your feet.,跺跺脚,PEP自我认知主题拓展,stamp your feet,Stamp your feet.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/stamp_your_feet.mp3
55,身体动作,Touch nose,Touch your nose.,摸摸鼻子,PEP自我认知主题拓展,touch your nose,Touch your nose.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/touch_your_nose.mp3
56,身体动作,Close eyes,Close your eyes.,闭上眼睛,PEP自我认知主题拓展,close your eyes,Close your eyes.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/close_your_eyes.mp3
57,身体动作,Open mouth,Open your mouth.,张开嘴巴,PEP自我认知主题拓展,open your mouth,Open your mouth.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/open_your_mouth.mp3
58,身体动作,Shake head,Shake your head.,摇摇头,PEP自我认知主题拓展,shake your head,Shake your head.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/shake_your_head.mp3
59,身体动作,Turn around,Turn around.,转一圈,PEP自我认知主题拓展,turn around,Turn around.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/turn_around.mp3
60,身体动作,Sit still,"Sit still, please.",请坐好不动,PEP自我认知主题拓展,"sit still, please","Sit still, please.",en_female_hayley_uranus_bigtts,generated,assets/audio/words/sit_still__please.mp3
61,情绪表达,I'm happy,I'm happy.,我很开心,PEP三上 U1 Making friends,i'm happy,I'm happy.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_m_happy.mp3
62,情绪表达,I'm sad,I'm sad.,我很难过,PEP三上 U1 Making friends,i'm sad,I'm sad.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_m_sad.mp3
63,情绪表达,I'm angry,I'm angry.,我生气了,PEP三上 U1 Making friends,i'm angry,I'm angry.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_m_angry.mp3
64,情绪表达,I'm scared,I'm scared.,我害怕了,PEP三上 U1 Making friends,i'm scared,I'm scared.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_m_scared.mp3
65,情绪表达,Be brave,Be brave.,勇敢一点,PEP三上 U1 Making friends,be brave,Be brave.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/be_brave.mp3
66,情绪表达,Calm down,Calm down.,冷静下来,PEP三上 U1 Making friends,calm down,Calm down.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/calm_down.mp3
67,情绪表达,Don't cry,Don't cry.,别哭,PEP三上 U1 Making friends,don't cry,Don't cry.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/don_t_cry.mp3
68,情绪表达,Cheer up,Cheer up!,打起精神,PEP三上 U1 Making friends,cheer up,Cheer up!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/cheer_up.mp3
69,情绪表达,Smile big,Give me a big smile.,给我一个大大的笑容,PEP三上 U1 Making friends,give me a big smile,Give me a big smile.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/give_me_a_big_smile.mp3
70,情绪表达,Laugh loud,Let's laugh together.,我们一起笑吧,PEP三上 U1 Making friends,let's laugh together,Let's laugh together.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_laugh_together.mp3
71,家庭互动,Help mom,I can help Mom.,我可以帮妈妈,PEP三上 U2 Different families,i can help mom,I can help Mom.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_can_help_mom.mp3
72,家庭互动,Hug dad,Give Dad a hug.,给爸爸一个拥抱,PEP三上 U2 Different families,give dad a hug,Give Dad a hug.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/give_dad_a_hug.mp3
73,家庭互动,Kiss baby,Give the baby a kiss.,亲亲宝宝,PEP三上 U2 Different families,give the baby a kiss,Give the baby a kiss.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/give_the_baby_a_kiss.mp3
74,家庭互动,Play with me,Play with me.,和我一起玩,PEP三上 U2 Different families,play with me,Play with me.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/play_with_me.mp3
75,家庭互动,Read to me,Can you read to me?,你能读给我听吗,PEP三上 U2 Different families,can you read to me,Can you read to me?,en_female_hayley_uranus_bigtts,generated,assets/audio/words/can_you_read_to_me.mp3
76,家庭互动,Tell a story,Can you tell me a story?,你能给我讲个故事吗,PEP三上 U2 Different families,can you tell me a story,Can you tell me a story?,en_female_hayley_uranus_bigtts,generated,assets/audio/words/can_you_tell_me_a_story.mp3
77,家庭互动,Go to bed,Let's go to bed.,我们上床睡觉吧,PEP三上 U2 Different families,let's go to bed,Let's go to bed.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_go_to_bed.mp3
78,家庭互动,Wake up,"Wake up, please.",请醒一醒,PEP三上 U2 Different families,"wake up, please","Wake up, please.",en_female_hayley_uranus_bigtts,generated,assets/audio/words/wake_up__please.mp3
79,家庭互动,Get dressed,"Get dressed, please.",请穿好衣服,PEP三上 U2 Different families,"get dressed, please","Get dressed, please.",en_female_hayley_uranus_bigtts,generated,assets/audio/words/get_dressed__please.mp3
80,家庭互动,Come here,"Come here, please.",请过来,PEP三上 U2 Different families,"come here, please","Come here, please.",en_female_hayley_uranus_bigtts,generated,assets/audio/words/come_here__please.mp3
81,玩具游戏,Play ball,Let's play ball.,我们玩球吧,PEP三上 U1 Making friends,let's play ball,Let's play ball.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_play_ball.mp3
82,玩具游戏,Ride bike,Ride your bike.,骑你的自行车,PEP三上 U1 Making friends,ride your bike,Ride your bike.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/ride_your_bike.mp3
83,玩具游戏,Fly kite,Fly the kite.,放风筝,PEP三上 U1 Making friends,fly the kite,Fly the kite.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/fly_the_kite.mp3
84,玩具游戏,Build blocks,Build the blocks.,搭积木,PEP三上 U1 Making friends,build the blocks,Build the blocks.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/build_the_blocks.mp3
85,玩具游戏,Hide and seek,Let's play hide-and-seek.,我们玩捉迷藏吧,PEP三上 U1 Making friends,let's play hide-and-seek,Let's play hide-and-seek.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_play_hide_and_seek.mp3
86,玩具游戏,Tag you're it,"Tag, you're it!",抓到你了，轮到你,PEP三上 U1 Making friends,"tag, you're it","Tag, you're it!",en_female_hayley_uranus_bigtts,generated,assets/audio/words/tag__you_re_it.mp3
87,玩具游戏,My turn,It's my turn.,轮到我了,PEP三上 U1 Making friends,it's my turn,It's my turn.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_s_my_turn.mp3
88,玩具游戏,Your turn,It's your turn.,轮到你了,PEP三上 U1 Making friends,it's your turn,It's your turn.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_s_your_turn.mp3
89,玩具游戏,I win,I won!,我赢了,PEP三上 U1 Making friends,i won,I won!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_won.mp3
90,玩具游戏,You lose,Good game!,玩得真好,PEP三上 U1 Making friends,good game,Good game!,en_female_hayley_uranus_bigtts,generated,assets/audio/words/good_game.mp3
91,颜色形状,Red and blue,I see red and blue.,我看见红色和蓝色,PEP三上 U5 The colourful world,i see red and blue,I see red and blue.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_see_red_and_blue.mp3
92,颜色形状,Yellow sun,The sun is yellow.,太阳是黄色的,PEP三上 U5 The colourful world,the sun is yellow,The sun is yellow.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_sun_is_yellow.mp3
93,颜色形状,Green grass,The grass is green.,草地是绿色的,PEP三上 U5 The colourful world,the grass is green,The grass is green.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_grass_is_green.mp3
94,颜色形状,Black night,The night is dark.,夜晚是黑的,PEP三上 U5 The colourful world,the night is dark,The night is dark.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_night_is_dark.mp3
95,颜色形状,White snow,The snow is white.,雪是白色的,PEP三上 U5 The colourful world,the snow is white,The snow is white.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_snow_is_white.mp3
96,颜色形状,Round circle,It is a circle.,它是圆形,PEP三上 U5 The colourful world,it is a circle,It is a circle.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_is_a_circle.mp3
97,颜色形状,Square box,It is a square.,它是正方形,PEP三上 U5 The colourful world,it is a square,It is a square.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_is_a_square.mp3
98,颜色形状,Triangle roof,It is a triangle.,它是三角形,PEP三上 U5 The colourful world,it is a triangle,It is a triangle.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_is_a_triangle.mp3
99,颜色形状,Star shape,It is a star.,它是星星形状,PEP三上 U5 The colourful world,it is a star,It is a star.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_is_a_star.mp3
100,颜色形状,Mix colors,Let's mix the colors.,我们混合颜色吧,PEP三上 U5 The colourful world,let's mix the colors,Let's mix the colors.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_mix_the_colors.mp3
101,数字时间,One to ten,Count from one to ten.,从一数到十,PEP三上 U6 Useful numbers,count from one to ten,Count from one to ten.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/count_from_one_to_ten.mp3
102,数字时间,Count to twenty,Count to twenty.,数到二十,PEP三上 U6 Useful numbers,count to twenty,Count to twenty.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/count_to_twenty.mp3
103,数字时间,Plus one,Add one more.,再加一个,PEP三上 U6 Useful numbers,add one more,Add one more.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/add_one_more.mp3
104,数字时间,Minus one,Take one away.,拿走一个,PEP三上 U6 Useful numbers,take one away,Take one away.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/take_one_away.mp3
105,数字时间,What time,What time is it?,现在几点了,PEP三上 U6 Useful numbers,what time is it,What time is it?,en_female_hayley_uranus_bigtts,generated,assets/audio/words/what_time_is_it.mp3
106,数字时间,Morning time,It's morning time.,现在是早晨时间,PEP三上 U6 Useful numbers,it's morning time,It's morning time.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_s_morning_time.mp3
107,数字时间,Night time,It's night time.,现在是夜晚时间,PEP三上 U6 Useful numbers,it's night time,It's night time.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_s_night_time.mp3
108,数字时间,One hour,It takes one hour.,这需要一小时,PEP三上 U6 Useful numbers,it takes one hour,It takes one hour.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_takes_one_hour.mp3
109,数字时间,Today is,Today is Monday.,今天是星期一,PEP三上 U6 Useful numbers,today is monday,Today is Monday.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/today_is_monday.mp3
110,数字时间,Tomorrow is,Tomorrow is Tuesday.,明天是星期二,PEP三上 U6 Useful numbers,tomorrow is tuesday,Tomorrow is Tuesday.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/tomorrow_is_tuesday.mp3
111,天气季节,Sunny day,It's sunny today.,今天是晴天,PEP三上 U4 Plants around us,it's sunny today,It's sunny today.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_s_sunny_today.mp3
112,天气季节,Rainy day,It's rainy today.,今天是雨天,PEP三上 U4 Plants around us,it's rainy today,It's rainy today.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_s_rainy_today.mp3
113,天气季节,Windy day,It's windy today.,今天刮风,PEP三上 U4 Plants around us,it's windy today,It's windy today.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_s_windy_today.mp3
114,天气季节,Cloudy day,It's cloudy today.,今天多云,PEP三上 U4 Plants around us,it's cloudy today,It's cloudy today.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_s_cloudy_today.mp3
115,天气季节,Hot summer,Summer is hot.,夏天很热,PEP三上 U4 Plants around us,summer is hot,Summer is hot.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/summer_is_hot.mp3
116,天气季节,Cold winter,Winter is cold.,冬天很冷,PEP三上 U4 Plants around us,winter is cold,Winter is cold.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/winter_is_cold.mp3
117,天气季节,Warm spring,Spring is warm.,春天很暖和,PEP三上 U4 Plants around us,spring is warm,Spring is warm.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/spring_is_warm.mp3
118,天气季节,Cool autumn,Autumn is cool.,秋天很凉爽,PEP三上 U4 Plants around us,autumn is cool,Autumn is cool.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/autumn_is_cool.mp3
119,天气季节,It's raining,It's raining.,下雨了,PEP三上 U4 Plants around us,it's raining,It's raining.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/it_s_raining.mp3
120,天气季节,Snow is falling,Snow is falling.,下雪了,PEP三上 U4 Plants around us,snow is falling,Snow is falling.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/snow_is_falling.mp3
121,动物宠物,Feed dog,Feed the dog.,喂小狗,PEP三上 U3 Amazing animals,feed the dog,Feed the dog.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/feed_the_dog.mp3
122,动物宠物,Walk dog,Walk the dog.,遛小狗,PEP三上 U3 Amazing animals,walk the dog,Walk the dog.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/walk_the_dog.mp3
123,动物宠物,Pet cat,Pet the cat.,摸摸小猫,PEP三上 U3 Amazing animals,pet the cat,Pet the cat.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/pet_the_cat.mp3
124,动物宠物,Watch fish,Watch the fish.,看小鱼,PEP三上 U3 Amazing animals,watch the fish,Watch the fish.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/watch_the_fish.mp3
125,动物宠物,Chase bird,Don't chase the bird.,不要追小鸟,PEP三上 U3 Amazing animals,don't chase the bird,Don't chase the bird.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/don_t_chase_the_bird.mp3
126,动物宠物,Catch butterfly,Let the butterfly fly.,让蝴蝶飞走,PEP三上 U3 Amazing animals,let the butterfly fly,Let the butterfly fly.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_the_butterfly_fly.mp3
127,动物宠物,Ride horse,Ride the horse.,骑马,PEP三上 U3 Amazing animals,ride the horse,Ride the horse.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/ride_the_horse.mp3
128,动物宠物,Milk cow,Milk the cow.,挤牛奶,PEP三上 U3 Amazing animals,milk the cow,Milk the cow.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/milk_the_cow.mp3
129,动物宠物,Shear sheep,Brush the sheep.,给绵羊刷毛,PEP三上 U3 Amazing animals,brush the sheep,Brush the sheep.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/brush_the_sheep.mp3
130,动物宠物,Collect eggs,Collect the eggs.,收鸡蛋,PEP三上 U3 Amazing animals,collect the eggs,Collect the eggs.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/collect_the_eggs.mp3
131,动物园,See panda,I see a panda.,我看见一只熊猫,PEP三上 U3 Amazing animals,i see a panda,I see a panda.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_see_a_panda.mp3
132,动物园,Watch monkey,Watch the monkey.,看这只猴子,PEP三上 U3 Amazing animals,watch the monkey,Watch the monkey.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/watch_the_monkey.mp3
133,动物园,Feed giraffe,The giraffe eats leaves.,长颈鹿吃树叶,PEP三上 U3 Amazing animals,the giraffe eats leaves,The giraffe eats leaves.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_giraffe_eats_leaves.mp3
134,动物园,Touch turtle,Look at the turtle.,看这只乌龟,PEP三上 U3 Amazing animals,look at the turtle,Look at the turtle.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/look_at_the_turtle.mp3
135,动物园,Hear lion,Hear the lion roar.,听狮子吼叫,PEP三上 U3 Amazing animals,hear the lion roar,Hear the lion roar.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/hear_the_lion_roar.mp3
136,动物园,See tiger,I see a tiger.,我看见一只老虎,PEP三上 U3 Amazing animals,i see a tiger,I see a tiger.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/i_see_a_tiger.mp3
137,动物园,Big elephant,The elephant is big.,大象很大,PEP三上 U3 Amazing animals,the elephant is big,The elephant is big.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_elephant_is_big.mp3
138,动物园,Small mouse,The mouse is small.,小老鼠很小,PEP三上 U3 Amazing animals,the mouse is small,The mouse is small.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_mouse_is_small.mp3
139,动物园,Long snake,The snake is long.,蛇很长,PEP三上 U3 Amazing animals,the snake is long,The snake is long.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_snake_is_long.mp3
140,动物园,Tall camel,The camel is tall.,骆驼很高,PEP三上 U3 Amazing animals,the camel is tall,The camel is tall.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/the_camel_is_tall.mp3
141,出行交通,By bus,Let's take the bus.,我们坐公交车吧,PEP社区生活主题拓展,let's take the bus,Let's take the bus.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_take_the_bus.mp3
142,出行交通,By car,Let's go by car.,我们坐小汽车去吧,PEP社区生活主题拓展,let's go by car,Let's go by car.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_go_by_car.mp3
143,出行交通,By bike,Let's go by bike.,我们骑自行车去吧,PEP社区生活主题拓展,let's go by bike,Let's go by bike.,en_female_hayley_uranus_bigtts,generated,assets/audio/words/let_s_go_by_bike.mp3
