level,noun,zh,status,note
097,Shirt,上衣,pass,Passed current prompt-level curriculum check.
098,Pants,裤子,pass,Passed current prompt-level curriculum check.
099,Coat,外套,watch,Coat 保留但需与 Shirt/Pants 区分，厚外套视觉要清楚。
100,Boots,靴子,watch,Boots 保留为可见衣物；成片需鞋靴清楚，不和 Shoes 混。
101,Teddy Bear,泰迪熊,pass,Passed current prompt-level curriculum check.
102,Bubble,泡泡,pass,Passed current prompt-level curriculum check.
103,Balloon,气球,pass,Passed current prompt-level curriculum check.
104,Ball,球,pass,Passed current prompt-level curriculum check.
105,Camel,骆驼,bridge-fixed,Robot -> Camel. 去掉 Robot；Camel 是沙漠强相关且可视化动物。
106,Doll,娃娃,pass,Passed current prompt-level curriculum check.
107,Kite,风筝,pass,Passed current prompt-level curriculum check.
108,Blocks,积木,pass,Passed current prompt-level curriculum check.
109,Mouse,老鼠,bridge-fixed,Puzzle -> Mouse. 去掉 Puzzle；Mouse 对应沙漠 The mouse is small。
110,Slide,滑梯,pass,Passed current prompt-level curriculum check.
111,Baby,宝宝,pass,Passed current prompt-level curriculum check.
112,Boy,男孩,pass,Passed current prompt-level curriculum check.
113,Girl,女孩,pass,Passed current prompt-level curriculum check.
114,Face,脸,pass,Passed current prompt-level curriculum check.
115,Tooth,牙齿,pass,Passed current prompt-level curriculum check.
116,Finger,手指,pass,Passed current prompt-level curriculum check.
117,Toe,脚趾,pass,Passed current prompt-level curriculum check.
118,Knee,膝盖,watch,Knee 保留为相对可指身体词；成片必须明确膝盖。
119,Snake,蛇,bridge-fixed,Elbow -> Snake. 去掉细身体部位 Elbow；Snake 对应沙漠 The snake is long。
120,Piano,钢琴,bridge-fixed,Shoulder -> Piano. 去掉细身体部位 Shoulder；Piano 对应沙漠 Play the piano。
121,Sofa,沙发,pass,Passed current prompt-level curriculum check.
122,Bed,床,pass,Passed current prompt-level curriculum check.
123,Pillow,枕头,pass,Passed current prompt-level curriculum check.
124,Blanket,被子,pass,Passed current prompt-level curriculum check.
125,Lamp,台灯,pass,Passed current prompt-level curriculum check.
126,Clock,时钟,pass,Passed current prompt-level curriculum check.
127,Mirror,镜子,pass,Passed current prompt-level curriculum check.
128,Door,门,pass,Passed current prompt-level curriculum check.
129,Window,窗户,pass,Passed current prompt-level curriculum check.
130,Chair,椅子,pass,Passed current prompt-level curriculum check.
131,Cup,杯子,pass,Passed current prompt-level curriculum check.
132,Bowl,碗,pass,Passed current prompt-level curriculum check.
133,Spoon,勺子,pass,Passed current prompt-level curriculum check.
134,Plate,盘子,pass,Passed current prompt-level curriculum check.
135,Bottle,瓶子,pass,Passed current prompt-level curriculum check.
136,Box,盒子,pass,Passed current prompt-level curriculum check.
137,Bag,包,pass,Passed current prompt-level curriculum check.
138,Table,桌子,pass,Passed current prompt-level curriculum check.
139,Fork,叉子,pass,Passed current prompt-level curriculum check.
140,Chopsticks,筷子,pass,Passed current prompt-level curriculum check.
141,Drum,鼓,bridge-fixed,Potty -> Drum. Potty 与 Toilet 重复且场景敏感；Drum 对应沙漠 Play the drum。
142,Rope,绳子,bridge-fixed,Shampoo -> Rope. 去掉 Shampoo；Rope 对应沙漠 Jump rope。
143,Soap,肥皂,pass,Passed current prompt-level curriculum check.
144,Towel,毛巾,pass,Passed current prompt-level curriculum check.
145,Tissue,纸巾,pass,Passed current prompt-level curriculum check.
146,Money,钱,bridge-fixed,Brush -> Money. 去掉 Brush/Comb 相近负担；Money 对应沙漠 Save/Count money。
147,Comb,梳子,pass,Passed current prompt-level curriculum check.
148,Bathtub,浴缸,pass,Passed current prompt-level curriculum check.
149,Toilet,马桶,pass,Passed current prompt-level curriculum check.
150,Toothbrush,牙刷,pass,Passed current prompt-level curriculum check.
151,Moon,月亮,pass,Passed current prompt-level curriculum check.
152,Sun,太阳,pass,Passed current prompt-level curriculum check.
153,Star,星星,pass,Passed current prompt-level curriculum check.
154,Rainbow,彩虹,pass,Passed current prompt-level curriculum check.
155,Sky,天空,pass,Passed current prompt-level curriculum check.
156,Cloud,云,pass,Passed current prompt-level curriculum check.
157,Rain,雨,pass,Passed current prompt-level curriculum check.
158,Snow,雪,pass,Passed current prompt-level curriculum check.
159,Wind,风,pass,Passed current prompt-level curriculum check.
160,Umbrella,雨伞,pass,Passed current prompt-level curriculum check.
161,Flower,花,pass,Passed current prompt-level curriculum check.
162,Tree,树,pass,Passed current prompt-level curriculum check.
163,Grass,草地,pass,Passed current prompt-level curriculum check.
164,Leaf,树叶,pass,Passed current prompt-level curriculum check.
165,Rock,石头,pass,Passed current prompt-level curriculum check.
166,Road,路,pass,Passed current prompt-level curriculum check.
167,Traffic Light,红绿灯,bridge-fixed,Bridge -> Traffic Light. Bridge 让位给更高频交通名词；Traffic Light 对应沙漠 Stop at the light。
168,Snack,零食,bridge-fixed,Gate -> Snack. Gate 让位给沙漠 Open the snack bag 的核心词。
169,Sugar,糖,bridge-fixed,Garden -> Sugar. Garden 让位给沙漠 No sugar 的核心词。
170,Nails,指甲,bridge-fixed,Hill -> Nails. Hill 让位给沙漠 Cut your nails 的核心词。
171,Taxi,出租车,pass,Passed current prompt-level curriculum check.
172,Bus,公交车,pass,Passed current prompt-level curriculum check.
173,Bike,自行车,pass,Passed current prompt-level curriculum check.
174,Train,火车,pass,Passed current prompt-level curriculum check.
175,Plane,飞机,pass,Passed current prompt-level curriculum check.
176,Boat,小船,pass,Passed current prompt-level curriculum check.
177,Night,夜晚,bridge-fixed,Ship -> Night. Ship/Boat 重复；Night 对应 Good night / night time / black night。
178,Truck,卡车,pass,Passed current prompt-level curriculum check.
179,Morning,早晨,bridge-fixed,Scooter -> Morning. Scooter 低复用；Morning 对应 Good morning / morning time。
180,Breakfast,早餐,bridge-fixed,Van -> Breakfast. Van 低复用；Breakfast 对应 Let’s have breakfast。
181,Backpack,书包,pass,Passed current prompt-level curriculum check.
182,Lunch,午餐,bridge-fixed,Lunchbox -> Lunch. Lunchbox 让位给沙漠 Let’s have lunch。
183,Crayon,蜡笔,pass,Passed current prompt-level curriculum check.
184,Pencil,铅笔,pass,Passed current prompt-level curriculum check.
185,Dinner,晚餐,bridge-fixed,Eraser -> Dinner. Eraser 低复用；Dinner 对应 Let’s have dinner。
186,Goal,球门,bridge-fixed,Ruler -> Goal. Ruler 低复用；Goal 对应 Score goal。
187,Paper,纸,pass,Passed current prompt-level curriculum check.
188,Bath,洗澡,bridge-fixed,Scissors -> Bath. Scissors 有安全风险；Bath 对应 Take a bath。
189,Song,歌曲,bridge-watch,Glue -> Song. Glue 低复用；Song 对应 Sing a song。 Watch: Song 是听觉名词，成片必须用听歌情境而不是抽象符号。
190,Soccer,足球运动,bridge-watch,Desk -> Soccer. Desk 低复用；Soccer 对应 Play soccer。 Watch: Soccer 是运动名词，成片要让 soccer ball/小球门辅助但不抢词。
191,Circle,圆形,watch,Circle 保留以呼应沙漠形状句；不能变课堂卡片。
192,Square,正方形,watch,Square 保留以呼应沙漠形状句；不能变课堂卡片。
193,Triangle,三角形,watch,Triangle 保留以呼应沙漠形状句；不能变课堂卡片。
194,Heart,心形,watch,Heart 保留为生活心形；不要变身体心脏或胸口动作。
195,Picture,图画,bridge-fixed,Rectangle -> Picture. Rectangle 不在沙漠主线；Picture 对应 Draw a picture。
196,Key,钥匙,pass,Passed current prompt-level curriculum check.
197,Button,纽扣,pass,Passed current prompt-level curriculum check.
198,Bucket,小桶,pass,Passed current prompt-level curriculum check.
199,Toothpaste,牙膏,pass,Passed current prompt-level curriculum check.
200,Sponge,海绵,pass,Passed current prompt-level curriculum check.
