map_world,level_id,item_text,chinese_meaning,topic,item_type,spoken_focus,source_video_name,status,source_field,confidence,final_prompt_chars,source_file
desert,31,add a family photo,,,expression label,Let me add her.,level-031-add-a-family-photo,ready,finalPrompt: Quiz answer label,0.96,8988,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,32,draw my family,,,expression label,I'm drawing my family.,level-032-draw-my-family,ready,finalPrompt: Quiz answer label,0.96,8399,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,33,talk about family,,,expression label,This is my family.,level-033-talk-about-family,ready,finalPrompt: Quiz answer label,0.96,8256,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,34,different families,,,expression label,My family is big!,level-034-different-families,ready,finalPrompt: Quiz answer label,0.96,8464,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,35,a pet dog,,,expression label,Look! A pet dog!,level-035-a-pet-dog,ready,finalPrompt: Quiz answer label,0.96,8290,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,36,a little cat,,,expression label,Look! A little cat!,level-036-a-little-cat,ready,finalPrompt: Quiz answer label,0.96,8303,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,37,a fish,,,expression label,Look! A fish!,level-037-a-fish,ready,finalPrompt: Quiz answer label,0.96,8266,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,38,a bird,,,expression label,Look! A bird!,level-038-a-bird,ready,finalPrompt: Quiz answer label,0.96,8282,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,39,What pets do you know?,,,expression label,What pets do you know?,level-039-what-pets-do-you-know,ready,finalPrompt: Quiz answer label,0.96,8482,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,40,I like dogs,,,expression label,I like dogs.,level-040-i-like-dogs,ready,finalPrompt: Quiz answer label,0.96,8138,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,41,I have a cat,,,expression label,I have a cat.,level-041-i-have-a-cat,ready,finalPrompt: Quiz answer label,0.96,8187,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,42,Is it a pet?,,,expression label,Is it a pet?,level-042-is-it-a-pet,ready,finalPrompt: Quiz answer label,0.96,8350,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,43,a wild panda,,,expression label,Look! A wild panda!,level-043-a-wild-panda,ready,finalPrompt: Quiz answer label,0.96,8451,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,44,a big tiger,,,expression label,Look! A big tiger!,level-044-a-big-tiger,ready,finalPrompt: Quiz answer label,0.96,8422,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,45,an elephant,,,expression label,Look! An elephant!,level-045-an-elephant,ready,finalPrompt: Quiz answer label,0.96,8410,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,46,a monkey,,,expression label,Look! A monkey!,level-046-a-monkey,ready,finalPrompt: Quiz answer label,0.96,8304,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,47,What wild animals do you know?,,,expression label,What wild animals do you know?,level-047-what-wild-animals-do-you-know,ready,finalPrompt: Quiz answer label,0.96,8587,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,48,animal picture book,,,expression label,We made a book about animals!,level-048-animal-picture-book,ready,finalPrompt: Quiz answer label,0.96,8982,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,49,draw a pet,,,expression label,I'm drawing a cat!,level-049-draw-a-pet,ready,finalPrompt: Quiz answer label,0.96,8421,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,50,draw a wild animal,,,expression label,Now I'm drawing a tiger!,level-050-draw-a-wild-animal,ready,finalPrompt: Quiz answer label,0.96,8452,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,51,tell about my animal,介绍我的动物,,phrase/task label,This turtle page is ready.,level-051-tell-about-my-animal,ready,"finalPrompt: target meaning ""中文 / English""",1,8978,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,52,a green plant,一株绿色植物,,phrase/task label,Here is a green plant.,level-052-a-green-plant,ready,"finalPrompt: target meaning ""中文 / English""",1,8893,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,53,a big tree,一棵大树,,phrase/task label,I see a big tree.,level-053-a-big-tree,ready,"finalPrompt: target meaning ""中文 / English""",1,8930,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,54,a small flower,一朵小花,,phrase/task label,"Look, a small flower.",level-054-a-small-flower,ready,"finalPrompt: target meaning ""中文 / English""",1,8921,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,55,plant seeds,种下种子,,phrase/task label,I can plant seeds.,level-055-plant-seeds,ready,"finalPrompt: target meaning ""中文 / English""",1,8885,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,56,water the plant,给植物浇水,,phrase/task label,Now we water the plant.,level-056-water-the-plant,ready,"finalPrompt: target meaning ""中文 / English""",1,8931,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,57,help plants,帮助植物,,phrase/task label,Let's help plants.,level-057-help-plants,ready,"finalPrompt: target meaning ""中文 / English""",1,8888,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,58,We get fruit,我们得到水果,,phrase/task label,We get fruit from plants.,level-058-we-get-fruit,ready,"finalPrompt: target meaning ""中文 / English""",1,8999,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,59,We get vegetables,我们得到蔬菜,,phrase/task label,We get vegetables from plants.,level-059-we-get-vegetables,ready,"finalPrompt: target meaning ""中文 / English""",1,8929,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,60,We get wood,我们得到木材,,phrase/task label,We get wood from plants.,level-060-we-get-wood,ready,"finalPrompt: target meaning ""中文 / English""",1,8962,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,61,We get shade,我们得到树荫,,phrase/task label,We get shade from plants.,level-061-we-get-shade,ready,"finalPrompt: target meaning ""中文 / English""",1,8856,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,62,What do we get from plants?,我们从植物得到什么？,,phrase/task label,What do we get from plants?,level-062-what-do-we-get-from-plants,ready,"finalPrompt: target meaning ""中文 / English""",1,8970,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,63,How can we help plants?,我们怎样帮助植物？,,phrase/task label,How can we help plants?,level-063-how-can-we-help-plants,ready,"finalPrompt: target meaning ""中文 / English""",1,8953,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,64,Don't pick flowers,不要摘花,,phrase/task label,"Don't pick flowers, please.",level-064-don-t-pick-flowers,ready,"finalPrompt: target meaning ""中文 / English""",1,8857,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,65,paper garden,纸花园,,phrase/task label,The empty mat is ready.,level-065-paper-garden,ready,"finalPrompt: target meaning ""中文 / English""",1,8921,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,66,make a paper garden,制作纸花园,,phrase/task label,Fold the paper stems.,level-066-make-a-paper-garden,ready,"finalPrompt: target meaning ""中文 / English""",1,8916,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,67,draw leaves,画叶子,,phrase/task label,This stem needs leaves.,level-067-draw-leaves,ready,"finalPrompt: target meaning ""中文 / English""",1,8852,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,68,care for a plant,照顾一株植物,,phrase/task label,The soil feels dry.,level-068-care-for-a-plant,ready,"finalPrompt: target meaning ""中文 / English""",1,8853,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,69,red apple,红苹果,,phrase/task label,"Look, red apple.",level-069-red-apple,ready,"finalPrompt: target meaning ""中文 / English""",1,8811,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,70,blue sky,蓝色天空,,phrase/task label,Here is blue sky.,level-070-blue-sky,ready,"finalPrompt: target meaning ""中文 / English""",1,8882,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,71,green leaf,绿色叶子,,phrase/task label,I see green leaf.,level-071-green-leaf,ready,"finalPrompt: target meaning ""中文 / English""",1,8826,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,72,yellow sun,黄色太阳,,phrase/task label,"Look, yellow sun.",level-072-yellow-sun,ready,"finalPrompt: target meaning ""中文 / English""",1,8830,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,73,black and white,黑色和白色,,phrase/task label,Here is black and white.,level-073-black-and-white,ready,"finalPrompt: target meaning ""中文 / English""",1,8897,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,74,What colours do you see?,你看见什么颜色？,,phrase/task label,What colours do you see?,level-074-what-colours-do-you-see,ready,"finalPrompt: target meaning ""中文 / English""",1,8927,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,75,I see red,我看见红色,,phrase/task label,I see red on the apple.,level-075-i-see-red,ready,"finalPrompt: target meaning ""中文 / English""",1,8861,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,76,It is blue,它是蓝色的,,phrase/task label,It is blue.,level-076-it-is-blue,ready,"finalPrompt: target meaning ""中文 / English""",1,8815,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,77,Colours help us see,颜色帮助我们看清楚,,phrase/task label,"Look, Colours help us see.",level-077-colours-help-us-see,ready,"finalPrompt: target meaning ""中文 / English""",1,8983,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,78,red means stop,红色表示停下,,phrase/task label,"Look, red means stop.",level-078-red-means-stop,ready,"finalPrompt: target meaning ""中文 / English""",1,9008,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,79,colour signs,颜色标志,,phrase/task label,"Look, colour signs.",level-079-colour-signs,ready,"finalPrompt: target meaning ""中文 / English""",1,8933,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,80,mix colours,混合颜色,,phrase/task label,Now we mix colours.,level-080-mix-colours,ready,"finalPrompt: target meaning ""中文 / English""",1,8949,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,81,my favourite colour,我最喜欢的颜色,,phrase/task label,"Look, my favourite colour.",level-081-my-favourite-colour,ready,"finalPrompt: target meaning ""中文 / English""",1,8936,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,82,colour flip book,颜色翻翻书,,phrase/task label,Open the first page.,level-082-colour-flip-book,ready,"finalPrompt: target meaning ""中文 / English""",1,8911,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,83,make a colour card,制作颜色卡,,phrase/task label,This card is blank.,level-083-make-a-colour-card,ready,"finalPrompt: target meaning ""中文 / English""",1,8883,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,84,sort by colour,按颜色分类,,phrase/task label,The pebbles are mixed.,level-084-sort-by-colour,ready,"finalPrompt: target meaning ""中文 / English""",1,8944,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,85,find colours,寻找颜色,,phrase/task label,Look around the oasis.,level-085-find-colours,ready,"finalPrompt: target meaning ""中文 / English""",1,8867,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,86,one book,一本书,,phrase/task label,I see one book.,level-086-one-book,ready,"finalPrompt: target meaning ""中文 / English""",1,8982,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,87,two pencils,两支铅笔,,phrase/task label,"Look, two pencils.",level-087-two-pencils,ready,"finalPrompt: target meaning ""中文 / English""",1,8942,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,88,three apples,三个苹果,,phrase/task label,Here is three apples.,level-088-three-apples,ready,"finalPrompt: target meaning ""中文 / English""",1,9030,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,89,four chairs,四把椅子,,phrase/task label,I see four chairs.,level-089-four-chairs,ready,"finalPrompt: target meaning ""中文 / English""",1,8957,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,90,five stars,五颗星星,,phrase/task label,"Look, five stars.",level-090-five-stars,ready,"finalPrompt: target meaning ""中文 / English""",1,9014,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,91,How many?,有多少？,,phrase/task label,How many?,level-091-how-many,ready,"finalPrompt: target meaning ""中文 / English""",1,8960,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,92,I am eight,我八岁,,phrase/task label,I am eight.,level-092-i-am-eight,ready,"finalPrompt: target meaning ""中文 / English""",1,9022,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,93,my birthday,我的生日,,phrase/task label,"Look, my birthday.",level-093-my-birthday,ready,"finalPrompt: target meaning ""中文 / English""",1,9036,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,94,What number is it?,它是几号？,,phrase/task label,What number is it?,level-094-what-number-is-it,ready,"finalPrompt: target meaning ""中文 / English""",1,8985,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,95,count to ten,数到十,,phrase/task label,Now we count to ten.,level-095-count-to-ten,ready,"finalPrompt: target meaning ""中文 / English""",1,9080,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,96,number in a line,队伍里的号码,,phrase/task label,"Look, number in a line.",level-096-number-in-a-line,ready,"finalPrompt: target meaning ""中文 / English""",1,9097,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,97,birthday card,生日卡片,,phrase/task label,Open the blank card.,level-097-birthday-card,ready,"finalPrompt: target meaning ""中文 / English""",1,8999,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,98,write age,写年龄,,phrase/task label,The card needs an age.,level-098-write-age,ready,"finalPrompt: target meaning ""中文 / English""",1,8964,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,99,count candles,数蜡烛,,phrase/task label,The cake needs candles.,level-099-count-candles,ready,"finalPrompt: target meaning ""中文 / English""",1,8967,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,100,make a birthday card,制作生日卡片,,phrase/task label,Fold the card first.,level-100-make-a-birthday-card,ready,"finalPrompt: target meaning ""中文 / English""",1,9083,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,101,use numbers in class,在课堂中使用数字,,phrase/task label,Now we use numbers in class.,level-101-use-numbers-in-class,ready,"finalPrompt: target meaning ""中文 / English""",1,9109,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,102,numbers are useful,数字很有用,,phrase/task label,This number helps us.,level-102-numbers-are-useful,ready,"finalPrompt: target meaning ""中文 / English""",1,9041,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,103,"Hello, I'm new",你好，我是新来的,,phrase/task label,"Hello, I'm new.",level-103-hello-i-m-new,ready,"finalPrompt: target meaning ""中文 / English""",1,8854,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,104,Nice to meet you,很高兴见到你,,phrase/task label,Nice to meet you.,level-104-nice-to-meet-you,ready,"finalPrompt: target meaning ""中文 / English""",1,8891,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,105,This is my friend,这是我的朋友,,phrase/task label,This is my friend.,level-105-this-is-my-friend,ready,"finalPrompt: target meaning ""中文 / English""",1,8959,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,106,Are you new here?,你是新来的吗？,,phrase/task label,Are you new here?,level-106-are-you-new-here,ready,"finalPrompt: target meaning ""中文 / English""",1,8895,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,107,Welcome to our class,欢迎来到我们班,,phrase/task label,Welcome to our class.,level-107-welcome-to-our-class,ready,"finalPrompt: target meaning ""中文 / English""",1,8950,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,108,Please come in,请进,,phrase/task label,Please come in.,level-108-please-come-in,ready,"finalPrompt: target meaning ""中文 / English""",1,8776,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,109,Thank you,谢谢你,,phrase/task label,Thank you.,level-109-thank-you,ready,"finalPrompt: target meaning ""中文 / English""",1,8805,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,110,You're welcome,不用谢,,phrase/task label,You're welcome.,level-110-you-re-welcome,ready,"finalPrompt: target meaning ""中文 / English""",1,8840,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,111,Excuse me,打扰一下,,phrase/task label,"Excuse me, please.",level-111-excuse-me,ready,"finalPrompt: target meaning ""中文 / English""",1,8806,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,112,Sorry,对不起,,phrase/task label,"Sorry, I bumped it.",level-112-sorry,ready,"finalPrompt: target meaning ""中文 / English""",1,8788,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,113,May I join you?,我可以加入你们吗？,,phrase/task label,May I join you?,level-113-may-i-join-you,ready,"finalPrompt: target meaning ""中文 / English""",1,8887,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,114,Be polite,要有礼貌,,phrase/task label,"Look, Be polite.",level-114-be-polite,ready,"finalPrompt: target meaning ""中文 / English""",1,8886,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,115,greet new people,问候新朋友,,phrase/task label,A new child is here.,level-115-greet-new-people,ready,"finalPrompt: target meaning ""中文 / English""",1,8916,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,116,role-play greeting,角色扮演问候,,phrase/task label,Stand by the gate.,level-116-role-play-greeting,ready,"finalPrompt: target meaning ""中文 / English""",1,8897,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,117,polite word card,礼貌用语卡,,phrase/task label,This card shows a kind moment.,level-117-polite-word-card,ready,"finalPrompt: target meaning ""中文 / English""",1,8975,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,118,introduce a friend,介绍一位朋友,,phrase/task label,Noah is beside me.,level-118-introduce-a-friend,ready,"finalPrompt: target meaning ""中文 / English""",1,8888,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,119,say goodbye politely,有礼貌地告别,,phrase/task label,Noah is leaving now.,level-119-say-goodbye-politely,ready,"finalPrompt: target meaning ""中文 / English""",1,8903,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,120,I'm happy,我很开心,,phrase/task label,I'm happy now.,level-120-i-m-happy,ready,"finalPrompt: target meaning ""中文 / English""",1,8861,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
desert,121,I'm sad,我很难过,,phrase/task label,I'm sad now.,level-121-i-m-sad,ready,"finalPrompt: target meaning ""中文 / English""",1,8838,/Users/yr/Library/Application Support/libtv-workbench/projects/baby-desert-levels-v1/tasks.json
