id,unit,theme_en,theme_zh,landmark,profile,shoreline,palette
017,Animal Friends,Flamingo,火烈鸟舞台岛,Flamingo Dance Stage,curved-neck ridge,heart bay with two slender reefs,pink-coral-teal
018,Animal Friends,Bee,蜜蜂花园岛,Honeycomb Garden Tower,hexagonal hive mountain,hex coast with dotted reefs,honey-black-flower blue
019,Animal Friends,Butterfly,蝴蝶温室岛,Butterfly Glasshouse,winged twin peaks,butterfly double bay with antenna shoals,purple-pink-green
020,Animal Friends,Dolphin,海豚浪花岛,Dolphin Wave Theater,wave-backed mountain,jump-arc beach with foam reefs,blue-teal-yellow
021,Wonder Plants,Sunflower,向日葵瞭望岛,Sunflower Lookout,stem-through mountain,petal ring coast with seed rocks,sun yellow-leaf green-orange
022,Wonder Plants,Acorn,橡果小屋岛,Acorn Cottage,cap-roof round mountain,oak-leaf bay with cap reef,chestnut-green-cream
023,Wonder Plants,Mushroom,蘑菇钟塔岛,Mushroom Clock Tower,white-stem pillar mountain,cap-wave coast with three mushroom reefs,red-white-grass
024,Wonder Plants,Waterfall,瀑布阶梯岛,Rainbow Waterfall Steps,seven-level mountain,drop bay with twin smooth stones,aqua-green-sandstone
025,Wonder Plants,Cactus,仙人掌水塔岛,Cactus Water Tower,three-prong desert mountain,half-moon coast with red pebble rim,bright green-blue-orange
026,Wonder Plants,Bamboo,竹林宝塔岛,Bamboo Pagoda,segmented peak mountain,bamboo-leaf coast with long green reef,bamboo-gold-cyan
027,Wonder Plants,Maple Leaf,枫叶树冠岛,Maple Canopy Pavilion,five-rib leaf mountain,five-point coast with flat red reefs,maple-orange-deep green
028,Wonder Plants,Pinecone,松果木屋岛,Pinecone Lodge,layered-scale mountain,drop coast with needle reef,pine-wood-gold
029,Wonder Plants,Crystal,水晶洞岛,Crystal Cave Hall,faceted crystal mountain,diamond coast with three prism reefs,purple-aqua-pink
030,Wonder Plants,Lotus,莲花亭岛,Lotus Water Pavilion,lotus-seat hill,lily-pad shoal with paired round reefs,lotus-emerald-blue
031,Ocean Discovery,Shell,贝壳宫岛,Shell Palace,radiating shell mountain,scallop coast with pearl reef,coral-cream-turquoise
032,Ocean Discovery,Coral,珊瑚风琴岛,Coral Pipe Organ,multi-pipe coral peaks,antler shoal with coral rubble,coral-purple-sea green
033,Ocean Discovery,Pearl,珍珠喷泉岛,Pearl Clam Fountain,open-clam mountain,teardrop beach with white shell ring,pearl-pink-blue
034,Ocean Discovery,Seahorse,海马滑梯岛,Seahorse Spiral Slide,S-curve seahorse ridge,curled-tail coast with beak reef,orange-blue-mint
035,Ocean Discovery,Starfish,海星钟岛,Starfish Clock Court,five-ridge star mountain,five-petal bays with tip reefs,orange-gold-cyan
036,Ocean Discovery,Crab,螃蟹桥岛,Crab Claw Bridge,crab-shell mountain,wide oval coast with eight leg reefs,coral-orange-sea green
037,Ocean Discovery,Octopus,章鱼水族岛,Octopus Aquarium,eight-root dome mountain,eight-arc coast with sucker stones,purple-blue-pink
038,Ocean Discovery,Submarine,潜艇码头岛,Submarine Cave Dock,submarine-through mountain,U harbor with black guard reefs,yellow-deep blue-coral
039,Ocean Discovery,Sailboat,帆船风塔岛,Sail Wind Tower,triangular sail peak,bow coast with wake reef,white-sky blue-orange
040,Ocean Discovery,Jellyfish,水母灯塔岛,Jellyfish Lighthouse,umbrella dome mountain,round bay with three tendril reefs,aqua-purple-yellow
041,Travel,Train,彩虹火车岛,Mountain Train Station,spiral rail mountain,ticket beach with wheel reefs,red-blue-gold
042,Travel,Bus,校车校园岛,School Bus Campus,long bus mountain,platform coast with four wheel rocks,school yellow-sky green
043,Travel,Airplane,飞机云港岛,Airplane Cloud Port,winged twin ridges,wing coast with navigation reef,sky-silver-orange
044,Travel,Bicycle,自行车轮岛,Bicycle Wheel Mill,wheel-cave mountain,semicircle coast with spoke shoals,teal-yellow-coral
045,Travel,Tractor,拖拉机农场岛,Tractor Barn,stepped tractor mountain,furrow coast with soil reefs,red-wheat-green
046,Travel,Cable Car,缆车山岛,Color Cable Station,twin cable peaks,double-peak bay with arch reef,orange-teal-berry
047,Travel,Camper,露营车岛,Camper Home,rounded camper mountain,campfire coast with stump reef,mint-cream-orange
048,Travel,Fire Truck,消防车岛,Fire Rescue Station,ladder truck mountain,hose coast with drop reefs,fire red-yellow-blue
049,Travel,Scooter,滑板车坡道岛,Scooter Sky Ramp,handlebar ridge mountain,streamline sandbar with wheel reef,blue-orange-purple
050,Travel,Monorail,环山单轨岛,Mountain Monorail,ring-track cone mountain,circular shoal with three low reefs,white-cyan-red
051,Music Art,Piano,钢琴瀑布岛,Piano Waterfall Stage,keyboard slope mountain,straight key coast with black square reefs,black-white-blue
052,Music Art,Drum,大鼓塔岛,Rainbow Drum Tower,cylinder drum mountain,round coast with drumstick reefs,red-yellow-blue
053,Music Art,Guitar,吉他桥岛,Guitar String Bridge,guitar-body mountain,pick beach with six string shoals,wood-teal-orange
054,Music Art,Violin,小提琴剧场岛,Violin Valley Theater,double-curve mountain,sound-hole bays with bow reef,amber-purple-cream
055,Music Art,Trumpet,小号喷泉岛,Trumpet Fountain,brass-tube mountain,bell bay with note reefs,gold-blue-coral
056,Music Art,Xylophone,木琴彩阶岛,Xylophone Stairs,seven-key mountain,seven-step coast with color stones,rainbow-wood-green
057,Music Art,Paintbrush,画笔彩泉岛,Paintbrush Color Fountain,brush-handle peak,palette coast with paint-dot reefs,blue-yellow-pink
058,Music Art,Crayon,蜡笔艺术岛,Crayon Art Towers,seven-pencil peaks,jagged color coast with crayon reefs,cyan-orange-purple
059,Music Art,Camera,相机影像岛,Camera View Hall,camera-body square mountain,frame coast with shutter reefs,blue-cream-pink
060,Music Art,Dance,舞蹈丝带岛,Ribbon Dance Stage,ribbon spiral mountain,S-step coast with shoe-print reefs,pink-purple-gold
061,Happy Town,Clock,大钟小镇岛,Smiling Clock Tower,clock-face peak,pendulum coast with bob reef,gold-blue-caramel
062,Happy Town,Bakery,面包烤炉岛,Bread Oven House,oven round mountain,bread-slice coast with grain reefs,brown-cream-berry
063,Happy Town,Mailbox,邮箱邮局岛,Mailbox Post Office,arched mailbox mountain,envelope coast with stamp reef,red-sky-white
064,Happy Town,Greenhouse,玻璃温室岛,Glass Garden Dome,glass-dome mountain,leaf-vein shoal with green stones,emerald-glass blue-gold
065,Happy Town,Doctor,听诊器诊所岛,Stethoscope Clinic,U-ridge health mountain,heartbeat coast with chestpiece reef,blue-white-coral
066,Happy Town,Washing Machine,洗衣泡泡岛,Bubble Laundry House,washer-square mountain,splash coast with clothespin reefs,mint-blue-pink
067,Happy Town,Toothbrush,牙刷清洁岛,Toothbrush Clean Tower,brush-handle ridge,smile bay with foam reefs,cyan-white-orange
068,Happy Town,Shoe,鞋子工坊岛,Giant Shoe Workshop,shoe-curve mountain,footprint coast with five toe reefs,royal blue-yellow-brown
069,Happy Town,Teapot,茶壶咖啡岛,Teapot Tea House,pot-body round mountain,tea-drop bay with sugar reefs,turquoise-pink-cream
070,Happy Town,Pillow,枕头旅馆岛,Cloud Pillow Hotel,double-cushion mountain,sleep-cap coast with star reefs,pale blue-lavender-gold
071,Science Space,Rocket,火箭探索岛,Learning Rocket Tower,launch-pad mountain,flame coast with cloud reefs,coral-sky-silver
072,Science Space,Planet,行星环岛,Ringed Planet Hall,sphere peak mountain,ellipse ring coast with moon reefs,blue-orange-purple
073,Science Space,Telescope,望远镜岛,Stargazing Telescope,slanted tube mountain,lens bay with focus reef,deep blue-gold-white
074,Science Space,Satellite,卫星天线岛,Satellite Dish Station,bowl-valley mountain,signal coast with three arc shoals,silver-blue-orange
075,Science Space,Comet,彗星滑道岛,Comet Tail Slide,comet-core mountain,long-tail sandbar with stardust reefs,purple-ice blue-pink
076,Science Space,Helmet,太空头盔岛,Astronaut Helmet Lab,visor dome mountain,visor bay with ear-pad reefs,white-blue-orange
077,Science Space,Magnet,磁铁桥岛,Magnet Bridge,U-pole twin peaks,U harbor with iron-dot reefs,red-blue-silver
078,Science Space,Gear,齿轮工坊岛,Gear Workshop,layered cog mountain,toothed coast with cog reefs,teal-gold-orange
079,Science Space,Microscope,显微镜实验岛,Microscope Research Hall,curved-arm mountain,cell coast with bubble reefs,cyan-purple-green
080,Science Space,Robot,机器人实验岛,Robot Learning Tower,robot-body square mountain,circuit coast with button reefs,blue-yellow-coral
081,Tasty Farm,Apple,苹果树屋岛,Apple Treehouse,apple round mountain,bite-mark coast with seed reefs,apple red-leaf-cream
082,Tasty Farm,Strawberry,草莓喷泉岛,Strawberry Fountain,seeded fruit mountain,pointed coast with seed ring,berry-green-pink
083,Tasty Farm,Carrot,胡萝卜风车岛,Carrot Windmill,orange cone mountain,leaf bay with soil reefs,orange-green-blue
084,Tasty Farm,Pumpkin,南瓜屋岛,Pumpkin House,segmented pumpkin mountain,vine coast with leaf reefs,pumpkin-forest-cream
085,Tasty Farm,Watermelon,西瓜泳池岛,Watermelon Pool,half-melon mountain,slice coast with black seed reefs,red-green-cyan
086,Tasty Farm,Banana,香蕉滑梯岛,Banana Moon Slide,banana-curve ridge,crescent coast with stem reef,yellow-green-blue
087,Tasty Farm,Corn,玉米谷仓岛,Corn Barn Tower,kernel mountain,leaf double bay with seed row,gold-green-brown
088,Tasty Farm,Milk,牛奶瓶塔岛,Milk Bottle Farm,bottle peak mountain,milk-drop coast with white bubble reefs,white-sky-green
089,Tasty Farm,Honey,蜂蜜罐岛,Honey Jar House,jar round mountain,honey-drop sandbar with hex reefs,honey-amber-green
090,Tasty Farm,Sandwich,三明治餐厅岛,Sandwich Restaurant,layered square mountain,triangle coast with bread-cube reefs,cheese-red-green
091,Magic Weather,Sun,太阳光塔岛,Smiling Sun Tower,radiant-ridge mountain,sun-ring coast with twelve light reefs,yellow-orange-blue
092,Magic Weather,Raindrop,雨滴水轮岛,Raindrop Water Wheel,drop peak mountain,ripple coast with slanted rain reefs,blue-mint-silver
093,Magic Weather,Snowman,雪人观测岛,Snowman Observatory,double-sphere mountain,snow-cap coast with button reefs,white-ice blue-orange
094,Magic Weather,Pinwheel,风车花岛,Paper Pinwheel Tower,five-blade peak,spiral coast with wind shoals,blue-yellow-pink
095,Magic Weather,Seasons,四季树岛,Four Seasons Tree,four-ridge tree mountain,four-petal coast with season reefs,pink-green-orange-ice
096,Magic Weather,Moon,月亮船岛,Crescent Moon Harbor,crescent peak mountain,double-crescent bay with moon reef,yellow-deep blue-silver
097,Magic Weather,Star,星星皇冠岛,Star Crown Lookout,five-point crown mountain,starburst coast with sparkle reefs,gold-blue-purple
098,Magic Weather,Key,魔法钥匙岛,Golden Key Gate,key-ring cave mountain,keyhole bay with tooth reefs,gold-teal-coral
099,Magic Weather,Wish,许愿井岛,Glowing Wishing Well,ring-crater mountain,ripple coast with coin reefs,blue-gold-lavender
100,Magic Weather,Compass,黄金罗盘岛,Adventure Compass Hall,compass-disc mountain,four-arrow coast with cardinal reefs,gold-blue-coral
